audit_item,status,code_symbol,file_path,function_or_class,parameter_value,unit,plain_english_interpretation,manuscript_explicit,audit_note
"electrical_solver","FOUND","A; b; spsolve","simulation/stage17_controlled_rebuild/src/model_fd.py","assemble_potential_system; solve_unit_potential","Sparse finite-difference linear system solved by scipy.sparse.linalg.spsolve","N/A","The quasi-static potential field is solved as a direct sparse linear system.","NO","The manuscript says sparse linear algebra but does not state the actual current solver call."
"thermal_solver_implementation","FOUND","factorized; solve","simulation/stage17_controlled_rebuild/src/model_fd.py","assemble_heat_stepper; _run_case_core","Structured-grid finite-difference heat step assembled once and solved each step with scipy.sparse.linalg.factorized(A.tocsc())","N/A","The temperature field advances through a matrix-based implicit heat step on a structured grid.","YES","The manuscript states an implicit heat step, but not the exact sparse solver call or matrix construction."
"named_time_stepping_scheme_label","AMBIGUOUS","NOT FOUND","simulation/stage17_controlled_rebuild/src/model_fd.py","assemble_heat_stepper","NOT FOUND","NOT FOUND","The current matrix form is consistent with a fully implicit finite-difference step, but the scheme is not explicitly named in code.","NO","It would be overreach to label the scheme more specifically without an explicit name in the current implementation."
"production_time_step","FOUND","dt_s","simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml; simulation/stage17_controlled_rebuild/src/model_fd.py","CaseConfig; _run_case_core","0.05","s","Default production time step used by the current baseline stage17 config.","YES","Also used as the current controller update period."
"baseline_grid_nodes","FOUND","nx; ny","simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml; simulation/stage17_controlled_rebuild/src/model_fd.py","CaseConfig; make_grid","281 x 141","nodes","Baseline production grid for the current 4 mm wall case.","YES","The manuscript states this baseline grid explicitly."
"baseline_grid_spacing_dx","FOUND","dx = x[1] - x[0]","simulation/stage17_controlled_rebuild/src/model_fd.py; simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml","make_grid; _run_case_core","18.0 / (281 - 1) = 0.064285714286","mm","Baseline lateral grid spacing derived from domain width and node count.","NO","This value is derived from geometry plus grid count; it is not stored as a standalone config scalar."
"baseline_grid_spacing_dy","FOUND","dy = y[1] - y[0]","simulation/stage17_controlled_rebuild/src/model_fd.py; simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml","make_grid; _run_case_core","(4.0 + 4.0) / (141 - 1) = 0.057142857143","mm","Baseline depth spacing derived from 4 mm wall thickness plus 4 mm bottom buffer.","NO","This value changes with wall thickness because domain_depth = wall_thickness + bottom_buffer."
"solver_tolerances","NOT FOUND","NOT FOUND","simulation/stage17_controlled_rebuild/src/model_fd.py","solve_unit_potential; assemble_heat_stepper","NOT FOUND","N/A","No user-exposed iterative or direct-solver tolerance setting was found in the current implementation.","NO","The current solver path uses direct sparse solves, but no explicit tolerance parameter is surfaced in code or manuscript."
"libraries","FOUND","numpy; scipy; matplotlib; pandas; yaml","simulation/stage17_controlled_rebuild/src/model_fd.py; simulation/stage17_controlled_rebuild/src/run_convergence.py; simulation/stage17_controlled_rebuild/requirements.txt","module imports","numpy; scipy; matplotlib; pandas; pyyaml","N/A","Core numerical, plotting, tabular, and YAML libraries used by the current stage17 code.","NO","The manuscript states Python and sparse linear algebra, but not the concrete library set."
"library_versions","NOT FOUND","NOT FOUND","simulation/stage17_controlled_rebuild/requirements.txt","N/A","requirements.txt lists package names without pinned versions","N/A","Version-locked reproducibility is not recoverable from the current repository state.","NO","This is a repository-level reproducibility gap rather than a scientific-model formula gap."
"arrhenius_damage_integration","FOUND","arrhenius_A_1_per_s; arrhenius_Ea_J_per_mol; d_omega; omega","simulation/stage17_controlled_rebuild/src/model_fd.py; simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml","_run_case_core; CaseConfig","d_omega = arrhenius_A_1_per_s * exp(-arrhenius_Ea_J_per_mol / (R_GAS * T_kelvin)) * dt_s; omega += d_omega * wall_mask_2d; A = 7.39e39; Ea = 2.577e5","A in s^-1; Ea in J mol^-1; Omega dimensionless","The Arrhenius integral is accumulated explicitly each time step in the wall region during both the energized pulse and the latency window.","NO","The manuscript states Arrhenius damage, but not the discrete accumulation rule or the continuation through latency."
"lesion_contour_extraction","FOUND","lesion_omega_threshold; lesion_mask","simulation/stage17_controlled_rebuild/src/model_fd.py; simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml","_run_case_core; run_case","lesion_mask = omega_report >= lesion_omega_threshold; lesion_omega_threshold = 1.0","Omega threshold is dimensionless","Lesion contour is the Omega = 1 contour on the reported wall-only damage field.","YES","The manuscript states the lesion boundary as Ω = 1."
"lesion_depth_definition","FOUND","interpolate_lesion_depth_mm","simulation/stage17_controlled_rebuild/src/model_fd.py","interpolate_lesion_depth_mm","Centerline depth of the Omega = 1 crossing, interpolated between adjacent depth nodes and limited to the physical wall","mm","Lesion depth is measured along the centerline from the tissue surface down to the last threshold crossing within the wall.","NO","This exact algorithm is implementation-only at present."
"lesion_width_definition","FOUND","compute_max_lesion_width_mm","simulation/stage17_controlled_rebuild/src/model_fd.py","compute_max_lesion_width_mm","Maximum connected lesion width across all wall rows; if multiple islands exist on a row, the component closest to the centerline is used","mm","Lesion width is not a single-row width at one depth; it is the maximum connected width found anywhere in the wall.","NO","This exact algorithm is implementation-only at present."
"lesion_area_definition","FOUND","compute_lesion_area_mm2","simulation/stage17_controlled_rebuild/src/model_fd.py","compute_lesion_area_mm2","sum(lesion_mask) * dx * dy * 1e6","mm^2","Lesion area is the 2D cross-sectional area of the wall-only lesion mask.","NO","The manuscript reports lesion area, but not the exact code formula."
"transmurality_definition","FOUND","transmurality","simulation/stage17_controlled_rebuild/src/model_fd.py","_run_case_core","transmurality = lesion_depth_mm >= wall_thickness_mm - 1e-6","Boolean","Transmurality is a binary flag set when lesion depth reaches wall thickness within tolerance.","NO","The manuscript lists transmurality as an output but does not define the current binary criterion."
"overheated_area_definition","FOUND","overheat_area_mm2; peak_T_report","simulation/stage17_controlled_rebuild/src/model_fd.py","_run_case_core","overheat_area_mm2 = sum(peak_T_report >= 100.0) * dx * dy * 1e6","mm^2","Overheated area is the wall-only area whose peak temperature over the full pulse-plus-latency run reached at least 100 °C.","NO","The manuscript mentions area exposed to temperatures ≥ 100 °C, but it does not state the current code's peak-over-time semantics."
"post_pulse_latency_handling","FOUND","post_pulse_duration_s; extra_latency_steps; latency_steps","simulation/stage17_controlled_rebuild/src/latency.py; simulation/stage17_controlled_rebuild/configs/latency_enabled.yaml; simulation/stage17_controlled_rebuild/src/model_fd.py","LatencyConfig; extra_latency_steps; _run_case_core","post_pulse_duration_s = 8.0; after the energized pulse, the solver advances latency_steps = round(post_pulse_duration_s / dt_s) zero-source steps while still updating temperature peaks and Arrhenius damage","s","All protocols continue for an 8 s zero-source latency window after power delivery ends.","YES","record_dt_s = 0.05 is present in the config file but is not consumed by the current solver path."
