status,item_id,manuscript_section,file_path,symbol_variable,exact_value,unit,manuscript_explicit,recommended_action,notes
FOUND,cooling_nominal_top_boundary,"2.3 Boundary and initial conditions; 2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml; simulation/stage17_controlled_rebuild/src/model_fd.py","cooling_h_W_per_m2K; h_top","cooling_h_W_per_m2K = 1500.0","W m^-2 K^-1",AMBIGUOUS,LEAVE_UNCHANGED,"The manuscript states an effective convective coefficient at the top boundary and lists nominal cooling values in Table 2, but the baseline scalar is not cleanly recoverable from prose extraction."
FOUND,cooling_footprint_scaling,"2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml; simulation/stage17_controlled_rebuild/src/model_fd.py","contact_h_reduction_per_mm; min_contact_h_scale; max_contact_h_scale; top_h_profile","contact_h_reduction_per_mm = 0.35; min_contact_h_scale = 0.50; max_contact_h_scale = 1.40; h_top(footprint) = cooling_h_W_per_m2K * clip(1 - 0.35 * (insertion_depth_mm - 1.0), 0.50, 1.40)","mm^-1 for reduction gain; scale dimensionless",AMBIGUOUS,REVISE,"The current footprint-only cooling law is reproducible in code but not fully explicit in current manuscript text extraction."
FOUND,protocol_set_and_controller_usage,"2.4 Comparator definition, control logic, and contact surrogate implementation; Table 1","simulation/stage17_controlled_rebuild/configs/protocols_stage17_fourway.yaml","protocols[].name; protocols[].use_controller","standard_30W_30s false; hpsd_50W_10s false; vhpsd_90W_4s_fixed false; vhpsd_90W_4s_controlled true","N/A",YES,LEAVE_UNCHANGED,"The current manuscript already states the four protocol definitions; the current code confirms that only the controlled 90 W / 4 s protocol uses the controller."
FOUND,controller_sensor_location_setting,"2.4 Comparator definition, control logic, and contact surrogate implementation; Table 2","simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml; simulation/stage17_controlled_rebuild/src/controller.py","sensor_location","surface_adjacent","N/A",YES,LEAVE_UNCHANGED,"The manuscript already states that a generic surface-adjacent temperature surrogate is used."
FOUND,controller_sensor_implementation,"2.4 Comparator definition, control logic, and contact surrogate implementation; Table 2","simulation/stage17_controlled_rebuild/src/model_fd.py","_surface_adjacent_temperature_C","row = 1 if T.shape[0] >= 2 else 0; measured_temp_C = T[row, :].max()","degC",NO,ADD,"The exact current implementation is the maximum temperature along the first interior depth row across the full lateral domain."
FOUND,controller_target_ceiling,"2.4 Comparator definition, control logic, and contact surrogate implementation; Table 2","simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml","target_temperature_C; ceiling_temperature_C","target_temperature_C = 70.0; ceiling_temperature_C = 80.0","degC",YES,LEAVE_UNCHANGED,"The current manuscript already states the target and ceiling temperatures."
FOUND,controller_power_bounds,"2.4 Comparator definition, control logic, and contact surrogate implementation; Table 2","simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml; simulation/stage17_controlled_rebuild/src/controller.py","max_power_W; min_power_W","max_power_W = 90.0; min_power_W = 15.0","W",NO,ADD,"The current code has explicit upper and lower power bounds that are not stated in the manuscript."
FOUND,controller_ramp_gain,"2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml; simulation/stage17_controlled_rebuild/src/controller.py","ramp_down_gain_W_per_C","ramp_down_gain_W_per_C = 6.0","W per degC",NO,ADD,"The current manuscript does not state the ramp-down gain."
FOUND,controller_piecewise_law,"2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/src/controller.py","compute_power","If measured_temp_C <= target: return upper; if measured_temp_C >= ceiling: return lower; else return requested_power_W - ramp_down_gain_W_per_C * (measured_temp_C - target), clipped to [lower, upper]","N/A",NO,ADD,"The current piecewise law is implementation-critical and should be stated if exact reproducibility is the goal."
FOUND,controller_update_and_hold,"2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml; simulation/stage17_controlled_rebuild/src/model_fd.py","sample_period_s; _controller_interval_steps; applied_power_W","sample_period_s = 0.05; controller_steps = round(sample_period_s / dt_s); applied power is updated only at those steps and held between updates","s",YES,LEAVE_UNCHANGED,"The manuscript already states the 0.05 s update period and that the previous applied power is held between updates."
FOUND,delivered_energy_rule,"2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/src/model_fd.py","delivered_energy_J","delivered_energy_J += applied_power_W * dt_s","J",NO,ADD,"The current manuscript discusses delivered energy results but does not state the exact discrete accumulation rule."
FOUND,latency_window_config,"2.4 Comparator definition, control logic, and contact surrogate implementation; Table 2","simulation/stage17_controlled_rebuild/configs/latency_enabled.yaml","enabled; post_pulse_duration_s","enabled = true; post_pulse_duration_s = 8.0","s",YES,LEAVE_UNCHANGED,"The manuscript already states that an 8 s post-pulse thermal latency window is applied."
FOUND,latency_step_and_zero_source_rule,"2.4 Comparator definition, control logic, and contact surrogate implementation","simulation/stage17_controlled_rebuild/src/latency.py; simulation/stage17_controlled_rebuild/src/model_fd.py","extra_latency_steps; zero_heat","latency_steps = round(post_pulse_duration_s / dt_s); during latency the heat step advances with zero RF source while Arrhenius accumulation and peak temperature updates continue","N/A",NO,ADD,"The manuscript states an 8 s latency window but not the current discrete zero-source implementation."
FOUND,latency_record_dt_usage,"2.4 Comparator definition, control logic, and contact surrogate implementation; Table 2","simulation/stage17_controlled_rebuild/configs/latency_enabled.yaml; simulation/stage17_controlled_rebuild/src/latency.py; simulation/stage17_controlled_rebuild/src/model_fd.py","record_dt_s","record_dt_s = 0.05","s",NO,LEAVE_UNCHANGED,"The field exists in config and latency validation, but no current stage17 solver path consumes it."
FOUND,lesion_boundary_threshold,"2.1 Reduced two-dimensional electro-thermal lesion model; 2.5 Material parameters and lesion metrics","simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml; simulation/stage17_controlled_rebuild/src/model_fd.py","lesion_omega_threshold; lesion_mask","lesion_omega_threshold = 1.0; lesion_mask = omega_report >= lesion_omega_threshold","dimensionless",YES,LEAVE_UNCHANGED,"The manuscript already states lesion boundary at Omega = 1."
FOUND,lesion_depth_rule,"2.5 Material parameters and lesion metrics","simulation/stage17_controlled_rebuild/src/model_fd.py","interpolate_lesion_depth_mm","Centerline interpolation to the Omega = 1 crossing within the physical wall; if the last in-wall point is already above threshold, lesion_depth_mm = wall_thickness_mm","mm",NO,ADD,"The current code definition is more specific than the current manuscript wording."
FOUND,lesion_width_rule,"2.5 Material parameters and lesion metrics","simulation/stage17_controlled_rebuild/src/model_fd.py","compute_max_lesion_width_mm","Maximum connected Omega >= 1 width across all wall rows; if multiple islands occur on a row, the component closest to the centerline is used","mm",NO,ADD,"The current width definition is implementation-specific and not explicit in the manuscript."
FOUND,lesion_area_rule,"2.5 Material parameters and lesion metrics","simulation/stage17_controlled_rebuild/src/model_fd.py","compute_lesion_area_mm2","lesion_area_mm2 = sum(lesion_mask) * dx * dy * 1e6","mm^2",NO,ADD,"This is a 2D cross-sectional area from the wall-only lesion mask."
FOUND,transmurality_rule,"2.5 Material parameters and lesion metrics","simulation/stage17_controlled_rebuild/src/model_fd.py","transmurality","transmurality = lesion_depth_mm >= wall_thickness_mm - 1e-6","Boolean",NO,ADD,"The manuscript lists transmurality as an output but does not define the current binary criterion."
FOUND,overheat_area_rule,"2.5 Material parameters and lesion metrics","simulation/stage17_controlled_rebuild/src/model_fd.py","overheat_area_mm2; peak_T_report","overheat_area_mm2 = sum(peak_T_report >= 100.0) * dx * dy * 1e6 on the wall-only reporting mask over the full energized-plus-latency run","mm^2",AMBIGUOUS,REVISE,"The manuscript states area exposed to temperatures >= 100 C, but not the current peak-over-time, wall-only semantics."
FOUND,verification_case_definitions,"2.6 Numerical implementation and verification","simulation/stage17_controlled_rebuild/configs/convergence.yaml; papers/V13/CMBBE_RF_ablation_reduced_model_main.docx","grid_cases; dt_values_s","grid_cases = [(201,101), (281,141), (361,181)]; dt_values_s = [0.10, 0.05, 0.025]","nodes for grids; s for dt",YES,LEAVE_UNCHANGED,"The manuscript already states the current grid and time-step convergence sets."
FOUND,verification_current_data_chain,"2.6 Numerical implementation and verification","simulation/stage17_controlled_rebuild/src/run_convergence.py; simulation/stage17_controlled_rebuild/configs/baseline_90W_4s_4mm.yaml; simulation/stage17_controlled_rebuild/configs/controller_selected_stage17.yaml; simulation/stage17_controlled_rebuild/configs/latency_enabled.yaml; simulation/stage17_controlled_rebuild/outputs/convergence_stage17_controlled_check/grid_convergence.csv; simulation/stage17_controlled_rebuild/outputs/convergence_stage17_controlled_check/dt_convergence.csv","run_convergence.py current chain","Base config baseline_90W_4s_4mm + selected controller + enabled latency -> convergence CSVs in outputs/convergence_stage17_controlled_check","N/A",NO,REVISE,"The current manuscript calls this the baseline nominal case, but the current on-disk convergence outputs are controller-enabled and latency-enabled."
FOUND,figure4_plotted_metrics,"2.6 Numerical implementation and verification; Figure 4","analysis/stage17_methodology_figs/src/make_fig4_stage17_verification.py; analysis/stage17_methodology_figs/run_make_fig4_stage17_verification.sh","relative_error_pct; prepare_grid_df; prepare_dt_df","Figure 4 plots relative error to the finest solution for lesion_depth_mm and peak_temperature_C from the current stage17 convergence CSVs","percent",NO,ADD,"The current stage17-native Figure 4 generator recomputes relative errors from raw exported metrics."
AMBIGUOUS,time_stepping_scheme_label,"2.6 Numerical implementation and verification","simulation/stage17_controlled_rebuild/src/model_fd.py","assemble_heat_stepper; factorized","Structured-grid finite-difference implicit matrix heat step solved via factorized(A.tocsc())","N/A",AMBIGUOUS,REVISE,"The manuscript says implicit heat step, but the exact named scheme label is not surfaced explicitly in code."
NOT_FOUND,solver_tolerances,"2.6 Numerical implementation and verification","simulation/stage17_controlled_rebuild/src/model_fd.py","NOT FOUND","NOT FOUND","NOT FOUND",NO,ADD,"No user-exposed iterative or direct-solver tolerance setting was located in the current stage17 solver path."
FOUND,benchmark_scope_statement,"2.9 Reference literature benchmark; 3.6 Reference benchmark status; 4. Discussion","papers/V13/CMBBE_RF_ablation_reduced_model_main.docx","Current benchmark wording in paragraphs 51, 66, and 89","Protocol-level literature-derived benchmark only; trend-level context; not geometry-matched validation; does not validate device-level prediction or the generic temperature-limited comparator; does not distinguish fixed-power and temperature-limited 90 W / 4 s as separate computational objects","N/A",YES,LEAVE_UNCHANGED,"The current benchmark boundary is appropriately cautious and should not be strengthened."
NOT_FOUND,benchmark_generation_within_scope,"2.9 Reference literature benchmark provenance note","simulation/stage17_controlled_rebuild/; analysis/stage17_methodology_figs/; papers/V13/CMBBE_RF_ablation_reduced_model_main.docx","NOT FOUND within scoped current source-of-truth","Current benchmark-generation code path is NOT FOUND within the strict scope of this audit","NOT FOUND",NO,REVISE,"Within the scoped current source-of-truth, Figure 8/Table 3 benchmark generation is not stage17-native."
NOT_FOUND,pinned_package_versions,"Data-availability / reproducibility note","simulation/stage17_controlled_rebuild/requirements.txt; analysis/stage17_methodology_figs/requirements.txt","requirements.txt entries","Package names are listed without pinned versions","N/A",NO,ADD,"Version-locked reproducibility is not recoverable from the current source-of-truth."
